0,1,2,3,4
-1.0578,-1.6856,-2.0988,-2.1566,-3.0038
-1.0627,-1.6843,-2.1744,-2.126,-2.8579
-0.83846,-1.8472,-2.1539,-1.9771,-2.7997
-0.90905,-1.7568,-2.0588,-1.9751,-2.7429
-0.94621,-1.6774,-2.0785,-2.0646,-2.6261
-0.95389,-1.7154,-1.9397,-1.7517,-3.0021
-0.78495,-1.7307,-1.7806,-1.873,-2.7437
-0.77539,-1.5779,-1.8431,-1.9075,-2.4166
-0.91573,-1.5744,-2.015,-1.8212,-2.6347
-0.70625,-1.6291,-1.6947,-1.7369,-2.4844
-1.014,-1.5566,-1.8935,-1.7561,-2.5037
-0.8142,-1.3605,-1.6911,-1.4334,-2.2443
-0.67728,-1.4345,-1.8044,-1.2011,-2.1465
-0.7661,-1.3795,-1.6602,-0.65554,-2.0053
-0.65133,-1.5767,-1.7183,-0.31185,-1.9287
-0.75323,-1.3668,-1.4259,0.25074,-1.539
-0.67068,-1.1236,-1.4829,0.89449,-1.4228
-0.51901,-1.1402,-1.3224,1.544,-0.93209
-0.66928,-1.2403,-1.3693,2.0093,-0.7463
-0.44923,-1.324,-1.5604,2.41,-0.60345
-0.50827,-1.1984,-1.3581,2.9544,-0.20819
-0.30379,-1.0443,-1.3453,3.2708,0.083575
0.12505,-0.89424,-1.1218,3.5026,0.41134
0.34983,-0.69572,-1.1157,3.8641,0.68408
0.62697,-0.73202,-1.0637,3.9626,1.0389
0.96568,-0.57584,-0.67223,4.0077,1.2913
1.2275,-0.29693,-0.83894,4.146,1.55
1.333,-0.21843,-0.5821,4.0317,1.539
1.5077,-0.097354,-0.42944,3.9586,1.9384
1.7155,0.0049562,-0.37794,4.1483,1.8108
1.767,0.043854,-0.36977,3.9503,1.9168
1.4105,0.37595,-0.33887,3.7961,1.8501
1.4131,0.23227,-0.45985,3.37,1.66
1.3993,0.302,-0.4223,3.0807,1.6768
1.3189,0.3308,-0.23569,2.6811,1.6385
1.1563,0.34769,-0.47227,2.3061,1.3908
0.87073,0.217,-0.40087,1.8168,0.99513
0.60862,0.32305,-0.38954,1.4389,0.63479
0.35413,0.1955,-0.47352,0.75247,0.71372
0.067126,0.32788,-0.64981,0.39931,0.54973
0.012563,-0.20004,-0.5945,-0.29349,0.26808
-0.34319,-0.16248,-0.62076,-0.87238,0.20666
-0.35359,-0.11526,-0.49773,-1.4948,0.39179
-0.6856,-0.26415,-0.68865,-1.7579,0.38473
-0.77641,-0.23936,-0.48983,-1.7562,0.64343
-0.9155,-0.31077,-0.78492,-1.6271,1.0593
-0.83062,-0.26023,-0.49946,-1.8421,1.4619
-1.1172,-0.60764,-0.76058,-1.8167,1.7771
-1.2286,-0.50745,-0.5834,-1.496,1.9154
-1.0363,-0.609,-0.62258,-1.5231,2.2435
-0.98721,-0.76389,-0.66948,-1.4735,2.5115
-0.7869,-0.60742,-0.42405,-1.5067,2.8129
-0.43522,-0.463,-0.3444,-1.4582,2.9067
0.12801,-0.60364,-0.19894,-1.4535,3.0967
0.65861,-0.22292,-0.01286,-1.5537,3.4007
1.2406,0.008842,-0.062338,-1.4614,3.2759
1.6618,0.2688,0.16705,-1.7686,3.7102
2.2575,0.36865,0.046691,-1.6632,3.3724
2.3794,0.57903,0.39737,-1.6519,3.6892
2.6021,0.82315,0.58729,-2.0835,3.5702
2.8255,1.0574,0.65466,-1.6801,3.5106
2.7079,1.0163,0.70224,-1.8396,3.7028
2.7592,1.4109,0.77715,-1.9734,3.2765
2.6096,1.2989,0.74389,-1.8453,3.2983
2.538,1.2292,0.70309,-2.0139,3.25
2.1562,1.2035,0.69004,-2.0875,2.8853
1.8125,1.4285,0.47155,-1.9367,3.0262
